dc_id,wikidata_id
EUR:E15000001,Q7055193
EUR:E15000002,Q17017054
EUR:E15000003,Q8055775
EUR:E15000004,Q5328978
EUR:E15000005,Q7985930
EUR:E15000006,Q5329755
EUR:E15000007,Q6669763
EUR:E15000008,Q7567115
EUR:E15000009,Q2973373
EUR:N07000001,Q7058448
EUR:S15000001,Q7435626
EUR:W08000001,Q7961747
MTW:E05011382,Q55466756
MTW:E05011383,Q56651541
MTW:E05011384,Q55466797
MTW:E05011385,Q55466825
MTW:E05011386,Q55466755
MTW:E05011387,Q55466807
MTW:E05011388,Q55466805
MTW:E05011389,Q55466776
MTW:E05011390,Q55466785
MTW:E05011391,Q55466803
MTW:E05011392,Q55466762
MTW:E05011393,Q55466783
MTW:E05011394,Q55466757
MTW:E05011395,Q55466823
MTW:E05011396,Q55466789
MTW:E05011397,Q55466799
MTW:E05011399,Q55466821
MTW:E05011400,Q55466786
MTW:E05011401,Q55466808
MTW:E05011402,Q55466761
MTW:E05011403,Q55466753
MTW:E05011404,Q6842031
MTW:E05011405,Q55466778
MTW:E05011406,Q55466800
MTW:E05011407,Q55466782
MTW:E05011409,Q55466813
MTW:E05011410,Q55466765
MTW:E05011411,Q56651558
MTW:E05011412,Q55466781
MTW:E05011413,Q55466759
MTW:E05011414,Q55466810
MTW:E05011547,Q55466779
MTW:E05011549,Q55466766
