dc_id,wikidata_id
joint-party:53-119,Q6467393
party:17,Q2479228
party:39,Q76382
party:51,Q9626
party:52,Q9626
party:53,Q9630
party:55,Q175443
party:63,Q9669
party:67,Q4732370
party:70,Q215519
party:77,Q10691
party:83,Q841045
party:84,Q10647
party:85,Q10647
party:90,Q9624
party:102,Q10658
party:103,Q244927
party:108,Q39921872
party:110,Q2631453
party:130,Q1256956
party:243,Q7550572
party:305,Q1096979
party:356,Q55465915
party:616,Q547623
party:680,Q985076
party:1951,Q16250994
party:2055,Q17059489
party:2755,Q20648714
party:6528,Q39935109
party:6661,Q42530925
party:6717,Q62213158
party:6718,Q62213454
party:7931,Q61651140
party:9060,Q63349121
party:9077,Q61751194
ynmp-party:2,Q327591
